Year,District,Country,Population
2015,Askim-Frölunda-Högsbo,Turkiet,253
2015,Askim-Frölunda-Högsbo,Tyskland,343
2015,Askim-Frölunda-Högsbo,Ungern,119
2015,Askim-Frölunda-Högsbo,USA,158
2015,Askim-Frölunda-Högsbo,Vietnam,134
2015,Askim-Frölunda-Högsbo,Övriga Afrika,327
2015,Askim-Frölunda-Högsbo,Övriga Asien,403
2015,Askim-Frölunda-Högsbo,Övriga Europa,708
2015,Askim-Frölunda-Högsbo,Övriga Nordamerika,111
2015,Askim-Frölunda-Högsbo,Övriga Oceanien,46
2015,Askim-Frölunda-Högsbo,Övriga Sydamerika,121
2009,Centrum,Afghanistan,17
2009,Centrum,Bolivia,52
2009,Centrum,Bosnien och Hercegovina,189
2009,Centrum,Brasilien,82
2009,Centrum,Chile,150
2009,Centrum,Colombia,86
2009,Centrum,Danmark,168
2009,Centrum,Eritrea,17
2009,Centrum,Estland,84
2009,Centrum,Etiopien,83
2009,Centrum,Filippinerna,78
2009,Centrum,Finland,489
2009,Centrum,Frankrike,212
2009,Centrum,Grekland,112
2009,Centrum,Indien,232
2009,Centrum,Irak,125
2009,Centrum,Iran,1340
2009,Centrum,Italien,141
2009,Centrum,Jugoslavien,295
2009,Centrum,Kina,598
2009,Centrum,Korea Syd-,130
2009,Centrum,Kroatien,46
2009,Centrum,Libanon,77
2009,Centrum,Makedonien,24
2009,Centrum,Marocko,59
2009,Centrum,Norge,287
2009,Centrum,Okänt,0
2009,Centrum,Pakistan,105
2009,Centrum,Polen,451
2009,Centrum,Portugal,59
2009,Centrum,Rumänien,159
2009,Centrum,Ryssland,144
2009,Centrum,Somalia,14
2009,Centrum,Spanien,108
2009,Centrum,Storbritannien och Nordirland,240
2009,Centrum,Syrien,27
2009,Centrum,Thailand,150
2009,Centrum,Turkiet,133
2009,Centrum,Tyskland,374
2009,Centrum,Ungern,139
2009,Centrum,USA,201
2009,Centrum,Vietnam,66
2009,Centrum,Övriga Afrika,253
2009,Centrum,Övriga Asien,383
2009,Centrum,Övriga Europa,599
2009,Centrum,Övriga Nordamerika,166
2009,Centrum,Övriga Oceanien,62
2009,Centrum,Övriga Sydamerika,142
2010,Centrum,Afghanistan,25
2010,Centrum,Bolivia,56
2010,Centrum,Bosnien och Hercegovina,227
2010,Centrum,Brasilien,85
2010,Centrum,Chile,168
2010,Centrum,Colombia,95
2010,Centrum,Danmark,161
2010,Centrum,Eritrea,19
2010,Centrum,Estland,81
2010,Centrum,Etiopien,73
2010,Centrum,Filippinerna,68
2010,Centrum,Finland,502
2010,Centrum,Frankrike,221
2010,Centrum,Grekland,113
2010,Centrum,Indien,217
2010,Centrum,Irak,136
2010,Centrum,Iran,1480
2010,Centrum,Italien,148
2010,Centrum,Jugoslavien,316
2010,Centrum,Kina,663
2010,Centrum,Korea Syd-,138
2010,Centrum,Kroatien,52
2010,Centrum,Libanon,80
2010,Centrum,Makedonien,24
2010,Centrum,Marocko,62
2010,Centrum,Norge,287
2010,Centrum,Okänt,0
2010,Centrum,Pakistan,114
2010,Centrum,Polen,468
2010,Centrum,Portugal,60
2010,Centrum,Rumänien,173
2010,Centrum,Ryssland,150
2010,Centrum,Somalia,27
2010,Centrum,Spanien,115
2010,Centrum,Storbritannien och Nordirland,229
2010,Centrum,Syrien,27
2010,Centrum,Thailand,147
2010,Centrum,Turkiet,163
2010,Centrum,Tyskland,395
2010,Centrum,Ungern,151
2010,Centrum,USA,213
2010,Centrum,Vietnam,65
2010,Centrum,Övriga Afrika,274
2010,Centrum,Övriga Asien,405
2010,Centrum,Övriga Europa,637
2010,Centrum,Övriga Nordamerika,188
2010,Centrum,Övriga Oceanien,61
2010,Centrum,Övriga Sydamerika,151
2011,Centrum,Afghanistan,26
2011,Centrum,Bolivia,59
2011,Centrum,Bosnien och Hercegovina,247
2011,Centrum,Brasilien,94
2011,Centrum,Chile,166
2011,Centrum,Colombia,112
2011,Centrum,Danmark,163
2011,Centrum,Eritrea,18
2011,Centrum,Estland,89
2011,Centrum,Etiopien,72
2011,Centrum,Filippinerna,85
2011,Centrum,Finland,498
2011,Centrum,Frankrike,240
2011,Centrum,Grekland,123
2011,Centrum,Indien,232
2011,Centrum,Irak,183
2011,Centrum,Iran,1569
2011,Centrum,Italien,169
2011,Centrum,Jugoslavien,323
2011,Centrum,Kina,709
2011,Centrum,Korea Syd-,135
2011,Centrum,Kroatien,50
2011,Centrum,Libanon,83
2011,Centrum,Makedonien,25
2011,Centrum,Marocko,65
2011,Centrum,Norge,289
2011,Centrum,Okänt,0
2011,Centrum,Pakistan,92
2011,Centrum,Polen,479
2011,Centrum,Portugal,63
2011,Centrum,Rumänien,172
2011,Centrum,Ryssland,145
2011,Centrum,Somalia,26
2011,Centrum,Spanien,126
2011,Centrum,Storbritannien och Nordirland,242
2011,Centrum,Syrien,30
2011,Centrum,Thailand,164
2011,Centrum,Turkiet,168
2011,Centrum,Tyskland,388
2011,Centrum,Ungern,150
2011,Centrum,USA,210
2011,Centrum,Vietnam,79
2011,Centrum,Övriga Afrika,275
2011,Centrum,Övriga Asien,420
2011,Centrum,Övriga Europa,688
2011,Centrum,Övriga Nordamerika,188
2011,Centrum,Övriga Oceanien,53
2011,Centrum,Övriga Sydamerika,160
2012,Centrum,Afghanistan,22
2012,Centrum,Bolivia,54
2012,Centrum,Bosnien och Hercegovina,285
2012,Centrum,Brasilien,90
2012,Centrum,Chile,161
2012,Centrum,Colombia,114
2012,Centrum,Danmark,180
2012,Centrum,Eritrea,23
2012,Centrum,Estland,87
2012,Centrum,Etiopien,86
2012,Centrum,Filippinerna,73
2012,Centrum,Finland,511
2012,Centrum,Frankrike,205
2012,Centrum,Grekland,130
2012,Centrum,Indien,298
2012,Centrum,Irak,199
2012,Centrum,Iran,1562
2012,Centrum,Italien,167
2012,Centrum,Jugoslavien,339
2012,Centrum,Kina,575
2012,Centrum,Korea Syd-,141
2012,Centrum,Kroatien,53
2012,Centrum,Libanon,104
2012,Centrum,Makedonien,28
2012,Centrum,Marocko,66
2012,Centrum,Norge,270
2012,Centrum,Okänt,0
2012,Centrum,Pakistan,89
2012,Centrum,Polen,481
2012,Centrum,Portugal,68
2012,Centrum,Rumänien,172
2012,Centrum,Ryssland,155
2012,Centrum,Somalia,30
2012,Centrum,Spanien,132
2012,Centrum,Storbritannien och Nordirland,245
2012,Centrum,Syrien,34
2012,Centrum,Thailand,173
2012,Centrum,Turkiet,161
2012,Centrum,Tyskland,374
2012,Centrum,Ungern,143
2012,Centrum,USA,211
2012,Centrum,Vietnam,74
2012,Centrum,Övriga Afrika,286
2012,Centrum,Övriga Asien,395
2012,Centrum,Övriga Europa,641
2012,Centrum,Övriga Nordamerika,185
2012,Centrum,Övriga Oceanien,60
2012,Centrum,Övriga Sydamerika,163
2013,Centrum,Afghanistan,41
2013,Centrum,Bolivia,57
2013,Centrum,Bosnien och Hercegovina,310
2013,Centrum,Brasilien,91
2013,Centrum,Chile,190
2013,Centrum,Colombia,111
2013,Centrum,Danmark,174
2013,Centrum,Eritrea,27
2013,Centrum,Estland,90
2013,Centrum,Etiopien,81
2013,Centrum,Filippinerna,76
2013,Centrum,Finland,506
2013,Centrum,Frankrike,203
2013,Centrum,Grekland,141
2013,Centrum,Indien,346
2013,Centrum,Irak,228
2013,Centrum,Iran,1535
2013,Centrum,Italien,183
2013,Centrum,Jugoslavien,342
2013,Centrum,Kina,556
2013,Centrum,Korea Syd-,140
2013,Centrum,Kroatien,63
2013,Centrum,Libanon,105
2013,Centrum,Makedonien,31
2013,Centrum,Marocko,65
2013,Centrum,Norge,269
2013,Centrum,Okänt,0
2013,Centrum,Pakistan,70
2013,Centrum,Polen,472
2013,Centrum,Portugal,69
2013,Centrum,Rumänien,171
2013,Centrum,Ryssland,146
2013,Centrum,Somalia,27
2013,Centrum,Spanien,137
2013,Centrum,Storbritannien och Nordirland,255
2013,Centrum,Syrien,72
2013,Centrum,Thailand,168
2013,Centrum,Turkiet,153
2013,Centrum,Tyskland,374
2013,Centrum,Ungern,154
2013,Centrum,USA,211
2013,Centrum,Vietnam,69
2013,Centrum,Övriga Afrika,290
2013,Centrum,Övriga Asien,367
2013,Centrum,Övriga Europa,666
2013,Centrum,Övriga Nordamerika,194
2013,Centrum,Övriga Oceanien,76
2013,Centrum,Övriga Sydamerika,162
2014,Centrum,Afghanistan,39
2014,Centrum,Bolivia,58
2014,Centrum,Bosnien och Hercegovina,325
2014,Centrum,Brasilien,96
2014,Centrum,Chile,184
2014,Centrum,Colombia,111
2014,Centrum,Danmark,176
2014,Centrum,Eritrea,27
2014,Centrum,Estland,80
2014,Centrum,Etiopien,94
2014,Centrum,Filippinerna,86
2014,Centrum,Finland,523
2014,Centrum,Frankrike,202
2014,Centrum,Grekland,157
2014,Centrum,Indien,368
2014,Centrum,Irak,245
2014,Centrum,Iran,1531
2014,Centrum,Italien,190
2014,Centrum,Jugoslavien,355
2014,Centrum,Kina,564
2014,Centrum,Korea Syd-,141
2014,Centrum,Kroatien,65
2014,Centrum,Libanon,111
2014,Centrum,Makedonien,31
2014,Centrum,Marocko,64
2014,Centrum,Norge,281
2014,Centrum,Okänt,0
2014,Centrum,Pakistan,67
2014,Centrum,Polen,465
2014,Centrum,Portugal,73
2014,Centrum,Rumänien,181
2014,Centrum,Ryssland,148
2014,Centrum,Somalia,48
2014,Centrum,Spanien,147
2014,Centrum,Storbritannien och Nordirland,260
2014,Centrum,Syrien,65
2014,Centrum,Thailand,174
2014,Centrum,Turkiet,141
2014,Centrum,Tyskland,395
2014,Centrum,Ungern,156
2014,Centrum,USA,227
2014,Centrum,Vietnam,73
2014,Centrum,Övriga Afrika,313
2014,Centrum,Övriga Asien,395
2014,Centrum,Övriga Europa,690
2014,Centrum,Övriga Nordamerika,191
2014,Centrum,Övriga Oceanien,72
2014,Centrum,Övriga Sydamerika,169
2015,Centrum,Afghanistan,53
2015,Centrum,Bolivia,61
2015,Centrum,Bosnien och Hercegovina,350
2015,Centrum,Brasilien,104
2015,Centrum,Chile,181
2015,Centrum,Colombia,108
2015,Centrum,Danmark,177
2015,Centrum,Eritrea,31
2015,Centrum,Estland,76
2015,Centrum,Etiopien,90
2015,Centrum,Filippinerna,89
2015,Centrum,Finland,526
2015,Centrum,Frankrike,222
2015,Centrum,Grekland,159
2015,Centrum,Indien,384
2015,Centrum,Irak,253
2015,Centrum,Iran,1547
2015,Centrum,Italien,209
2015,Centrum,Jugoslavien,379
2015,Centrum,Kina,541
2015,Centrum,Korea Syd-,128
2015,Centrum,Kroatien,78
2015,Centrum,Libanon,115
2015,Centrum,Makedonien,35
2015,Centrum,Marocko,69
2015,Centrum,Norge,294
2015,Centrum,Okänt,0
2015,Centrum,Pakistan,64
2015,Centrum,Polen,469
2015,Centrum,Portugal,70
2015,Centrum,Rumänien,188
2015,Centrum,Ryssland,152
2015,Centrum,Somalia,71
2015,Centrum,Spanien,161
2015,Centrum,Storbritannien och Nordirland,281
2015,Centrum,Syrien,116
2015,Centrum,Thailand,164
2015,Centrum,Turkiet,130
2015,Centrum,Tyskland,409
2015,Centrum,Ungern,153
2015,Centrum,USA,234
2015,Centrum,Vietnam,84
2015,Centrum,Övriga Afrika,317
2015,Centrum,Övriga Asien,399
2015,Centrum,Övriga Europa,728
2015,Centrum,Övriga Nordamerika,183
2015,Centrum,Övriga Oceanien,67
2015,Centrum,Övriga Sydamerika,179
2009,Lundby,Afghanistan,69
2009,Lundby,Bolivia,40
2009,Lundby,Bosnien och Hercegovina,635
2009,Lundby,Brasilien,77
2009,Lundby,Chile,223
2009,Lundby,Colombia,52
2009,Lundby,Danmark,143
2009,Lundby,Eritrea,51
2009,Lundby,Estland,53
2009,Lundby,Etiopien,113
2009,Lundby,Filippinerna,86
2009,Lundby,Finland,703
2009,Lundby,Frankrike,55
2009,Lundby,Grekland,92
2009,Lundby,Indien,161
2009,Lundby,Irak,316
2009,Lundby,Iran,910
2009,Lundby,Italien,46
2009,Lundby,Jugoslavien,551
2009,Lundby,Kina,196
2009,Lundby,Korea Syd-,57
2009,Lundby,Kroatien,100
2009,Lundby,Libanon,114
2009,Lundby,Makedonien,65
2009,Lundby,Marocko,59
2009,Lundby,Norge,277
2009,Lundby,Okänt,0
2009,Lundby,Pakistan,43
2009,Lundby,Polen,283
2009,Lundby,Portugal,98
2009,Lundby,Rumänien,132
2009,Lundby,Ryssland,63
2009,Lundby,Somalia,127
2009,Lundby,Spanien,54
2009,Lundby,Storbritannien och Nordirland,143
2009,Lundby,Syrien,22
2009,Lundby,Thailand,135
2009,Lundby,Turkiet,304
2009,Lundby,Tyskland,203
2009,Lundby,Ungern,99
2009,Lundby,USA,88
2009,Lundby,Vietnam,98
2009,Lundby,Övriga Afrika,257
2009,Lundby,Övriga Asien,266
2009,Lundby,Övriga Europa,315
2009,Lundby,Övriga Nordamerika,85
2009,Lundby,Övriga Oceanien,26
2009,Lundby,Övriga Sydamerika,82
2010,Lundby,Afghanistan,82
2010,Lundby,Bolivia,40
2010,Lundby,Bosnien och Hercegovina,645
2010,Lundby,Brasilien,73
2010,Lundby,Chile,224
2010,Lundby,Colombia,67
2010,Lundby,Danmark,156
2010,Lundby,Eritrea,54
2010,Lundby,Estland,51
2010,Lundby,Etiopien,117
2010,Lundby,Filippinerna,93
2010,Lundby,Finland,699
2010,Lundby,Frankrike,54
2010,Lundby,Grekland,105
2010,Lundby,Indien,154
2010,Lundby,Irak,374
2010,Lundby,Iran,962
2010,Lundby,Italien,51
2010,Lundby,Jugoslavien,545
2010,Lundby,Kina,217
2010,Lundby,Korea Syd-,59
2010,Lundby,Kroatien,103
2010,Lundby,Libanon,113
2010,Lundby,Makedonien,72
2010,Lundby,Marocko,55
2010,Lundby,Norge,278
2010,Lundby,Okänt,0
2010,Lundby,Pakistan,41
2010,Lundby,Polen,287
2010,Lundby,Portugal,104
2010,Lundby,Rumänien,122
2010,Lundby,Ryssland,70
2010,Lundby,Somalia,139
2010,Lundby,Spanien,53
2010,Lundby,Storbritannien och Nordirland,160
2010,Lundby,Syrien,26
2010,Lundby,Thailand,147
2010,Lundby,Turkiet,323
2010,Lundby,Tyskland,201
2010,Lundby,Ungern,99
2010,Lundby,USA,93
2010,Lundby,Vietnam,102
2010,Lundby,Övriga Afrika,286
2010,Lundby,Övriga Asien,276
2010,Lundby,Övriga Europa,344
2010,Lundby,Övriga Nordamerika,100
2010,Lundby,Övriga Oceanien,30
2010,Lundby,Övriga Sydamerika,81
2011,Lundby,Afghanistan,93
2011,Lundby,Bolivia,34
2011,Lundby,Bosnien och Hercegovina,676
2011,Lundby,Brasilien,82
2011,Lundby,Chile,221
2011,Lundby,Colombia,69
2011,Lundby,Danmark,141
2011,Lundby,Eritrea,65
2011,Lundby,Estland,49
2011,Lundby,Etiopien,124
2011,Lundby,Filippinerna,101
2011,Lundby,Finland,693
2011,Lundby,Frankrike,66
2011,Lundby,Grekland,106
2011,Lundby,Indien,176
2011,Lundby,Irak,412
2011,Lundby,Iran,1027
2011,Lundby,Italien,47
2011,Lundby,Jugoslavien,561
2011,Lundby,Kina,224
2011,Lundby,Korea Syd-,63
2011,Lundby,Kroatien,100
2011,Lundby,Libanon,116
2011,Lundby,Makedonien,80
2011,Lundby,Marocko,61
2011,Lundby,Norge,269
2011,Lundby,Okänt,0
2011,Lundby,Pakistan,46
2011,Lundby,Polen,301
2011,Lundby,Portugal,105
2011,Lundby,Rumänien,131
2011,Lundby,Ryssland,81
2011,Lundby,Somalia,124
2011,Lundby,Spanien,59
2011,Lundby,Storbritannien och Nordirland,164
2011,Lundby,Syrien,25
2011,Lundby,Thailand,165
2011,Lundby,Turkiet,347
2011,Lundby,Tyskland,204
2011,Lundby,Ungern,103
2011,Lundby,USA,91
2011,Lundby,Vietnam,103
2011,Lundby,Övriga Afrika,319
2011,Lundby,Övriga Asien,279
2011,Lundby,Övriga Europa,393
2011,Lundby,Övriga Nordamerika,111
2011,Lundby,Övriga Oceanien,26
2011,Lundby,Övriga Sydamerika,87
2012,Lundby,Afghanistan,124
2012,Lundby,Bolivia,36
2012,Lundby,Bosnien och Hercegovina,708
2012,Lundby,Brasilien,82
2012,Lundby,Chile,223
2012,Lundby,Colombia,68
2012,Lundby,Danmark,146
2012,Lundby,Eritrea,69
2012,Lundby,Estland,52
2012,Lundby,Etiopien,142
2012,Lundby,Filippinerna,110
2012,Lundby,Finland,668
2012,Lundby,Frankrike,68
2012,Lundby,Grekland,103
2012,Lundby,Indien,215
2012,Lundby,Irak,428
2012,Lundby,Iran,1092
2012,Lundby,Italien,62
2012,Lundby,Jugoslavien,565
2012,Lundby,Kina,252
2012,Lundby,Korea Syd-,67
2012,Lundby,Kroatien,99
2012,Lundby,Libanon,126
2012,Lundby,Makedonien,102
2012,Lundby,Marocko,59
2012,Lundby,Norge,259
2012,Lundby,Okänt,0
2012,Lundby,Pakistan,56
2012,Lundby,Polen,321
2012,Lundby,Portugal,103
2012,Lundby,Rumänien,149
2012,Lundby,Ryssland,79
2012,Lundby,Somalia,127
2012,Lundby,Spanien,67
2012,Lundby,Storbritannien och Nordirland,185
2012,Lundby,Syrien,27
2012,Lundby,Thailand,174
2012,Lundby,Turkiet,376
2012,Lundby,Tyskland,222
2012,Lundby,Ungern,107
2012,Lundby,USA,94
2012,Lundby,Vietnam,113
2012,Lundby,Övriga Afrika,337
2012,Lundby,Övriga Asien,293
2012,Lundby,Övriga Europa,434
2012,Lundby,Övriga Nordamerika,107
2012,Lundby,Övriga Oceanien,27
2012,Lundby,Övriga Sydamerika,99
2013,Lundby,Afghanistan,132
2013,Lundby,Bolivia,34
2013,Lundby,Bosnien och Hercegovina,751
2013,Lundby,Brasilien,102
2013,Lundby,Chile,236
2013,Lundby,Colombia,68
2013,Lundby,Danmark,150
2013,Lundby,Eritrea,77
2013,Lundby,Estland,48
2013,Lundby,Etiopien,148
2013,Lundby,Filippinerna,113
2013,Lundby,Finland,696
2013,Lundby,Frankrike,72
2013,Lundby,Grekland,117
2013,Lundby,Indien,229
2013,Lundby,Irak,474
2013,Lundby,Iran,1140
2013,Lundby,Italien,60
2013,Lundby,Jugoslavien,578
2013,Lundby,Kina,283
2013,Lundby,Korea Syd-,72
2013,Lundby,Kroatien,110
2013,Lundby,Libanon,132
2013,Lundby,Makedonien,102
2013,Lundby,Marocko,66
2013,Lundby,Norge,253
2013,Lundby,Okänt,0
2013,Lundby,Pakistan,61
2013,Lundby,Polen,363
2013,Lundby,Portugal,109
2013,Lundby,Rumänien,189
2013,Lundby,Ryssland,97
2013,Lundby,Somalia,157
2013,Lundby,Spanien,69
2013,Lundby,Storbritannien och Nordirland,186
2013,Lundby,Syrien,42
2013,Lundby,Thailand,186
2013,Lundby,Turkiet,371
2013,Lundby,Tyskland,239
2013,Lundby,Ungern,105
2013,Lundby,USA,121
2013,Lundby,Vietnam,127
2013,Lundby,Övriga Afrika,349
2013,Lundby,Övriga Asien,332
2013,Lundby,Övriga Europa,481
2013,Lundby,Övriga Nordamerika,111
2013,Lundby,Övriga Oceanien,31
2013,Lundby,Övriga Sydamerika,107
2014,Lundby,Afghanistan,128
2014,Lundby,Bolivia,37
2014,Lundby,Bosnien och Hercegovina,783
2014,Lundby,Brasilien,99
2014,Lundby,Chile,241
2014,Lundby,Colombia,63
2014,Lundby,Danmark,157
2014,Lundby,Eritrea,89
2014,Lundby,Estland,50
2014,Lundby,Etiopien,147
2014,Lundby,Filippinerna,134
2014,Lundby,Finland,714
2014,Lundby,Frankrike,78
2014,Lundby,Grekland,129
2014,Lundby,Indien,291
2014,Lundby,Irak,506
2014,Lundby,Iran,1198
2014,Lundby,Italien,63
2014,Lundby,Jugoslavien,611
2014,Lundby,Kina,348
2014,Lundby,Korea Syd-,79
2014,Lundby,Kroatien,115
2014,Lundby,Libanon,139
2014,Lundby,Makedonien,110
2014,Lundby,Marocko,67
2014,Lundby,Norge,241
2014,Lundby,Okänt,0
2014,Lundby,Pakistan,69
2014,Lundby,Polen,372
2014,Lundby,Portugal,109
2014,Lundby,Rumänien,147
2014,Lundby,Ryssland,105
2014,Lundby,Somalia,197
2014,Lundby,Spanien,85
2014,Lundby,Storbritannien och Nordirland,188
2014,Lundby,Syrien,99
2014,Lundby,Thailand,192
2014,Lundby,Turkiet,387
2014,Lundby,Tyskland,252
2014,Lundby,Ungern,105
2014,Lundby,USA,122
2014,Lundby,Vietnam,134
2014,Lundby,Övriga Afrika,371
2014,Lundby,Övriga Asien,366
2014,Lundby,Övriga Europa,517
2014,Lundby,Övriga Nordamerika,114
2014,Lundby,Övriga Oceanien,38
2014,Lundby,Övriga Sydamerika,99
2015,Lundby,Afghanistan,148
2015,Lundby,Bolivia,41
2015,Lundby,Bosnien och Hercegovina,824
2015,Lundby,Brasilien,110
2015,Lundby,Chile,250
2015,Lundby,Colombia,76
2015,Lundby,Danmark,164
2015,Lundby,Eritrea,109
2015,Lundby,Estland,49
2015,Lundby,Etiopien,145
2015,Lundby,Filippinerna,143
2015,Lundby,Finland,708
2015,Lundby,Frankrike,88
2015,Lundby,Grekland,148
2015,Lundby,Indien,295
2015,Lundby,Irak,517
2015,Lundby,Iran,1239
2015,Lundby,Italien,70
2015,Lundby,Jugoslavien,629
2015,Lundby,Kina,375
2015,Lundby,Korea Syd-,83
2015,Lundby,Kroatien,123
2015,Lundby,Libanon,149
2015,Lundby,Makedonien,120
2015,Lundby,Marocko,72
2015,Lundby,Norge,240
2015,Lundby,Okänt,0
2015,Lundby,Pakistan,62
2015,Lundby,Polen,376
2015,Lundby,Portugal,130
2015,Lundby,Rumänien,155
2015,Lundby,Ryssland,117
2015,Lundby,Somalia,248
2015,Lundby,Spanien,91
2015,Lundby,Storbritannien och Nordirland,192
2015,Lundby,Syrien,178
2015,Lundby,Thailand,221
2015,Lundby,Turkiet,408
2015,Lundby,Tyskland,261
2015,Lundby,Ungern,101
2015,Lundby,USA,126
2015,Lundby,Vietnam,140
2015,Lundby,Övriga Afrika,379
2015,Lundby,Övriga Asien,378
2015,Lundby,Övriga Europa,565
2015,Lundby,Övriga Nordamerika,140
2015,Lundby,Övriga Oceanien,42
2015,Lundby,Övriga Sydamerika,116
2009,Majorna-Linné,Afghanistan,20
2009,Majorna-Linné,Bolivia,41
2009,Majorna-Linné,Bosnien och Hercegovina,162
2009,Majorna-Linné,Brasilien,95
2009,Majorna-Linné,Chile,240
2009,Majorna-Linné,Colombia,77
2009,Majorna-Linné,Danmark,196
2009,Majorna-Linné,Eritrea,13
2009,Majorna-Linné,Estland,75
2009,Majorna-Linné,Etiopien,69
2009,Majorna-Linné,Filippinerna,83
2009,Majorna-Linné,Finland,635
2009,Majorna-Linné,Frankrike,178
2009,Majorna-Linné,Grekland,104
2009,Majorna-Linné,Indien,142
2009,Majorna-Linné,Irak,140
2009,Majorna-Linné,Iran,998
2009,Majorna-Linné,Italien,103
2009,Majorna-Linné,Jugoslavien,259
2009,Majorna-Linné,Kina,203
2009,Majorna-Linné,Korea Syd-,133
2009,Majorna-Linné,Kroatien,49
2009,Majorna-Linné,Libanon,66
2009,Majorna-Linné,Makedonien,18
2009,Majorna-Linné,Marocko,39
2009,Majorna-Linné,Norge,339
2009,Majorna-Linné,Okänt,0
2009,Majorna-Linné,Pakistan,20
2009,Majorna-Linné,Polen,351
2009,Majorna-Linné,Portugal,51
2009,Majorna-Linné,Rumänien,108
2009,Majorna-Linné,Ryssland,99
2009,Majorna-Linné,Somalia,65
2009,Majorna-Linné,Spanien,108
2009,Majorna-Linné,Storbritannien och Nordirland,263
2009,Majorna-Linné,Syrien,34
2009,Majorna-Linné,Thailand,128
2009,Majorna-Linné,Turkiet,177
2009,Majorna-Linné,Tyskland,326
2009,Majorna-Linné,Ungern,129
2009,Majorna-Linné,USA,211
2009,Majorna-Linné,Vietnam,35
2009,Majorna-Linné,Övriga Afrika,257
2009,Majorna-Linné,Övriga Asien,232
2009,Majorna-Linné,Övriga Europa,502
2009,Majorna-Linné,Övriga Nordamerika,151
2009,Majorna-Linné,Övriga Oceanien,67
2009,Majorna-Linné,Övriga Sydamerika,180
2010,Majorna-Linné,Afghanistan,20
2010,Majorna-Linné,Bolivia,42
2010,Majorna-Linné,Bosnien och Hercegovina,184
2010,Majorna-Linné,Brasilien,94
2010,Majorna-Linné,Chile,241
2010,Majorna-Linné,Colombia,87
2010,Majorna-Linné,Danmark,195
2010,Majorna-Linné,Eritrea,16
2010,Majorna-Linné,Estland,71
2010,Majorna-Linné,Etiopien,70
2010,Majorna-Linné,Filippinerna,82
2010,Majorna-Linné,Finland,625
2010,Majorna-Linné,Frankrike,183
2010,Majorna-Linné,Grekland,116
2010,Majorna-Linné,Indien,160
2010,Majorna-Linné,Irak,150
2010,Majorna-Linné,Iran,1024
2010,Majorna-Linné,Italien,99
2010,Majorna-Linné,Jugoslavien,259
2010,Majorna-Linné,Kina,213
2010,Majorna-Linné,Korea Syd-,144
2010,Majorna-Linné,Kroatien,53
2010,Majorna-Linné,Libanon,71
2010,Majorna-Linné,Makedonien,17
2010,Majorna-Linné,Marocko,39
2010,Majorna-Linné,Norge,335
2010,Majorna-Linné,Okänt,0
2010,Majorna-Linné,Pakistan,14
2010,Majorna-Linné,Polen,366
2010,Majorna-Linné,Portugal,51
2010,Majorna-Linné,Rumänien,119
2010,Majorna-Linné,Ryssland,105
2010,Majorna-Linné,Somalia,61
2010,Majorna-Linné,Spanien,123
2010,Majorna-Linné,Storbritannien och Nordirland,282
2010,Majorna-Linné,Syrien,38
2010,Majorna-Linné,Thailand,132
2010,Majorna-Linné,Turkiet,192
2010,Majorna-Linné,Tyskland,327
2010,Majorna-Linné,Ungern,130
2010,Majorna-Linné,USA,219
2010,Majorna-Linné,Vietnam,36
2010,Majorna-Linné,Övriga Afrika,262
2010,Majorna-Linné,Övriga Asien,251
2010,Majorna-Linné,Övriga Europa,511
2010,Majorna-Linné,Övriga Nordamerika,159
2010,Majorna-Linné,Övriga Oceanien,72
2010,Majorna-Linné,Övriga Sydamerika,190
2011,Majorna-Linné,Afghanistan,17
2011,Majorna-Linné,Bolivia,43
2011,Majorna-Linné,Bosnien och Hercegovina,196
2011,Majorna-Linné,Brasilien,103
2011,Majorna-Linné,Chile,248
2011,Majorna-Linné,Colombia,91
2011,Majorna-Linné,Danmark,207
2011,Majorna-Linné,Eritrea,17
2011,Majorna-Linné,Estland,67
2011,Majorna-Linné,Etiopien,73
2011,Majorna-Linné,Filippinerna,85
2011,Majorna-Linné,Finland,601
2011,Majorna-Linné,Frankrike,182
2011,Majorna-Linné,Grekland,110
2011,Majorna-Linné,Indien,166
2011,Majorna-Linné,Irak,149
2011,Majorna-Linné,Iran,1022
2011,Majorna-Linné,Italien,106
2011,Majorna-Linné,Jugoslavien,256
2011,Majorna-Linné,Kina,225
2011,Majorna-Linné,Korea Syd-,141
2011,Majorna-Linné,Kroatien,57
2011,Majorna-Linné,Libanon,79
2011,Majorna-Linné,Makedonien,16
2011,Majorna-Linné,Marocko,43
2011,Majorna-Linné,Norge,338
2011,Majorna-Linné,Okänt,0
2011,Majorna-Linné,Pakistan,23
2011,Majorna-Linné,Polen,356
2011,Majorna-Linné,Portugal,52
2011,Majorna-Linné,Rumänien,116
2011,Majorna-Linné,Ryssland,110
2011,Majorna-Linné,Somalia,68
2011,Majorna-Linné,Spanien,111
2011,Majorna-Linné,Storbritannien och Nordirland,278
2011,Majorna-Linné,Syrien,41
2011,Majorna-Linné,Thailand,140
2011,Majorna-Linné,Turkiet,193
2011,Majorna-Linné,Tyskland,319
2011,Majorna-Linné,Ungern,124
2011,Majorna-Linné,USA,232
2011,Majorna-Linné,Vietnam,41
2011,Majorna-Linné,Övriga Afrika,273
2011,Majorna-Linné,Övriga Asien,262
2011,Majorna-Linné,Övriga Europa,520
