Year,District,Country,Population
2012,Angered,Ungern,299
2012,Angered,USA,60
2012,Angered,Vietnam,709
2012,Angered,Övriga Afrika,870
2012,Angered,Övriga Asien,760
2012,Angered,Övriga Europa,954
2012,Angered,Övriga Nordamerika,148
2012,Angered,Övriga Oceanien,11
2012,Angered,Övriga Sydamerika,217
2013,Angered,Afghanistan,143
2013,Angered,Bolivia,231
2013,Angered,Bosnien och Hercegovina,1507
2013,Angered,Brasilien,20
2013,Angered,Chile,378
2013,Angered,Colombia,42
2013,Angered,Danmark,174
2013,Angered,Eritrea,206
2013,Angered,Estland,39
2013,Angered,Etiopien,376
2013,Angered,Filippinerna,174
2013,Angered,Finland,1278
2013,Angered,Frankrike,30
2013,Angered,Grekland,98
2013,Angered,Indien,215
2013,Angered,Irak,4539
2013,Angered,Iran,1273
2013,Angered,Italien,108
2013,Angered,Jugoslavien,1287
2013,Angered,Kina,403
2013,Angered,Korea Syd-,0
2013,Angered,Kroatien,104
2013,Angered,Libanon,892
2013,Angered,Makedonien,214
2013,Angered,Marocko,122
2013,Angered,Norge,229
2013,Angered,Okänt,10
2013,Angered,Pakistan,185
2013,Angered,Polen,1606
2013,Angered,Portugal,42
2013,Angered,Rumänien,636
2013,Angered,Ryssland,92
2013,Angered,Somalia,1982
2013,Angered,Spanien,31
2013,Angered,Storbritannien och Nordirland,129
2013,Angered,Syrien,973
2013,Angered,Thailand,172
2013,Angered,Turkiet,564
2013,Angered,Tyskland,244
2013,Angered,Ungern,307
2013,Angered,USA,61
2013,Angered,Vietnam,726
2013,Angered,Övriga Afrika,917
2013,Angered,Övriga Asien,820
2013,Angered,Övriga Europa,1012
2013,Angered,Övriga Nordamerika,132
2013,Angered,Övriga Oceanien,0
2013,Angered,Övriga Sydamerika,196
2014,Angered,Afghanistan,191
2014,Angered,Bolivia,232
2014,Angered,Bosnien och Hercegovina,1498
2014,Angered,Brasilien,21
2014,Angered,Chile,366
2014,Angered,Colombia,43
2014,Angered,Danmark,163
2014,Angered,Eritrea,226
2014,Angered,Estland,42
2014,Angered,Etiopien,395
2014,Angered,Filippinerna,166
2014,Angered,Finland,1217
2014,Angered,Frankrike,35
2014,Angered,Grekland,99
2014,Angered,Indien,221
2014,Angered,Irak,4555
2014,Angered,Iran,1205
2014,Angered,Italien,109
2014,Angered,Jugoslavien,1230
2014,Angered,Kina,380
2014,Angered,Korea Syd-,10
2014,Angered,Kroatien,113
2014,Angered,Libanon,890
2014,Angered,Makedonien,247
2014,Angered,Marocko,129
2014,Angered,Norge,222
2014,Angered,Okänt,10
2014,Angered,Pakistan,183
2014,Angered,Polen,1695
2014,Angered,Portugal,40
2014,Angered,Rumänien,681
2014,Angered,Ryssland,94
2014,Angered,Somalia,2090
2014,Angered,Spanien,37
2014,Angered,Storbritannien och Nordirland,123
2014,Angered,Syrien,1357
2014,Angered,Thailand,155
2014,Angered,Turkiet,576
2014,Angered,Tyskland,238
2014,Angered,Ungern,297
2014,Angered,USA,55
2014,Angered,Vietnam,749
2014,Angered,Övriga Afrika,964
2014,Angered,Övriga Asien,881
2014,Angered,Övriga Europa,1041
2014,Angered,Övriga Nordamerika,131
2014,Angered,Övriga Oceanien,0
2014,Angered,Övriga Sydamerika,197
2015,Angered,Afghanistan,195
2015,Angered,Bolivia,234
2015,Angered,Bosnien och Hercegovina,1488
2015,Angered,Brasilien,19
2015,Angered,Chile,343
2015,Angered,Colombia,41
2015,Angered,Danmark,169
2015,Angered,Eritrea,262
2015,Angered,Estland,37
2015,Angered,Etiopien,401
2015,Angered,Filippinerna,155
2015,Angered,Finland,1166
2015,Angered,Frankrike,39
2015,Angered,Grekland,110
2015,Angered,Indien,221
2015,Angered,Irak,4596
2015,Angered,Iran,1183
2015,Angered,Italien,116
2015,Angered,Jugoslavien,1202
2015,Angered,Kina,366
2015,Angered,Korea Syd-,12
2015,Angered,Kroatien,115
2015,Angered,Libanon,890
2015,Angered,Makedonien,303
2015,Angered,Marocko,142
2015,Angered,Norge,211
2015,Angered,Okänt,10
2015,Angered,Pakistan,198
2015,Angered,Polen,1759
2015,Angered,Portugal,39
2015,Angered,Rumänien,748
2015,Angered,Ryssland,92
2015,Angered,Somalia,2161
2015,Angered,Spanien,35
2015,Angered,Storbritannien och Nordirland,120
2015,Angered,Syrien,1562
2015,Angered,Thailand,162
2015,Angered,Turkiet,573
2015,Angered,Tyskland,234
2015,Angered,Ungern,304
2015,Angered,USA,63
2015,Angered,Vietnam,751
2015,Angered,Övriga Afrika,976
2015,Angered,Övriga Asien,907
2015,Angered,Övriga Europa,1070
2015,Angered,Övriga Nordamerika,131
2015,Angered,Övriga Oceanien,12
2015,Angered,Övriga Sydamerika,194
2009,Askim-Frölunda-Högsbo,Afghanistan,87
2009,Askim-Frölunda-Högsbo,Bolivia,36
2009,Askim-Frölunda-Högsbo,Bosnien och Hercegovina,309
2009,Askim-Frölunda-Högsbo,Brasilien,57
2009,Askim-Frölunda-Högsbo,Chile,152
2009,Askim-Frölunda-Högsbo,Colombia,64
2009,Askim-Frölunda-Högsbo,Danmark,251
2009,Askim-Frölunda-Högsbo,Eritrea,26
2009,Askim-Frölunda-Högsbo,Estland,59
2009,Askim-Frölunda-Högsbo,Etiopien,71
2009,Askim-Frölunda-Högsbo,Filippinerna,81
2009,Askim-Frölunda-Högsbo,Finland,433
2009,Askim-Frölunda-Högsbo,Frankrike,122
2009,Askim-Frölunda-Högsbo,Grekland,63
2009,Askim-Frölunda-Högsbo,Indien,96
2009,Askim-Frölunda-Högsbo,Irak,482
2009,Askim-Frölunda-Högsbo,Iran,1099
2009,Askim-Frölunda-Högsbo,Italien,74
2009,Askim-Frölunda-Högsbo,Jugoslavien,293
2009,Askim-Frölunda-Högsbo,Kina,270
2009,Askim-Frölunda-Högsbo,Korea Syd-,80
2009,Askim-Frölunda-Högsbo,Kroatien,44
2009,Askim-Frölunda-Högsbo,Libanon,150
2009,Askim-Frölunda-Högsbo,Makedonien,41
2009,Askim-Frölunda-Högsbo,Marocko,36
2009,Askim-Frölunda-Högsbo,Norge,341
2009,Askim-Frölunda-Högsbo,Okänt,0
2009,Askim-Frölunda-Högsbo,Pakistan,90
2009,Askim-Frölunda-Högsbo,Polen,396
2009,Askim-Frölunda-Högsbo,Portugal,31
2009,Askim-Frölunda-Högsbo,Rumänien,127
2009,Askim-Frölunda-Högsbo,Ryssland,122
2009,Askim-Frölunda-Högsbo,Somalia,114
2009,Askim-Frölunda-Högsbo,Spanien,82
2009,Askim-Frölunda-Högsbo,Storbritannien och Nordirland,215
2009,Askim-Frölunda-Högsbo,Syrien,80
2009,Askim-Frölunda-Högsbo,Thailand,169
2009,Askim-Frölunda-Högsbo,Turkiet,200
2009,Askim-Frölunda-Högsbo,Tyskland,311
2009,Askim-Frölunda-Högsbo,Ungern,126
2009,Askim-Frölunda-Högsbo,USA,119
2009,Askim-Frölunda-Högsbo,Vietnam,126
